Base,Lat,Lon,Nom_du_jour,Jour_de_la_semaine,Heure,DayType,Nom_du_mois,DaySituation
B02512,40.7594,-73.9727,Monday,1,0,NormalDay,September,Night
B02512,40.7597,-73.9961,Monday,1,0,NormalDay,September,Night
B02512,40.7602,-73.9949,Monday,1,0,NormalDay,September,Night
B02512,40.7633,-73.9773,Monday,1,0,NormalDay,September,Night
B02512,40.7642,-73.9886,Monday,1,0,NormalDay,September,Night
B02512,40.7653,-73.9795,Monday,1,0,NormalDay,September,Night
B02512,40.7738,-73.9777,Monday,1,0,NormalDay,September,Night
B02512,40.8105,-73.96,Monday,1,0,NormalDay,September,Night
B02512,40.8145,-73.9444,Monday,1,0,NormalDay,September,Night
B02512,40.8646,-73.9081,Monday,1,0,NormalDay,September,Night
B02512,40.6076,-74.2947,Tuesday,2,0,NormalDay,September,Night
B02512,40.6335,-73.9518,Tuesday,2,0,NormalDay,September,Night
B02512,40.6418,-73.7891,Tuesday,2,0,NormalDay,September,Night
B02512,40.6447,-73.7823,Tuesday,2,0,NormalDay,September,Night
B02512,40.6758,-73.9298,Tuesday,2,0,NormalDay,September,Night
B02512,40.686,-73.988,Tuesday,2,0,NormalDay,September,Night
B02512,40.6917,-73.9844,Tuesday,2,0,NormalDay,September,Night
B02512,40.6938,-73.938,Tuesday,2,0,NormalDay,September,Night
B02512,40.695,-74.1779,Tuesday,2,0,NormalDay,September,Night
B02512,40.7003,-73.9291,Tuesday,2,0,NormalDay,September,Night
B02512,40.7055,-73.9284,Tuesday,2,0,NormalDay,September,Night
B02512,40.7126,-73.9659,Tuesday,2,0,NormalDay,September,Night
B02512,40.7135,-73.962,Tuesday,2,0,NormalDay,September,Night
B02512,40.7149,-73.9609,Tuesday,2,0,NormalDay,September,Night
B02512,40.7184,-74.047,Tuesday,2,0,NormalDay,September,Night
B02512,40.7215,-74.041,Tuesday,2,0,NormalDay,September,Night
B02512,40.7223,-74.0036,Tuesday,2,0,NormalDay,September,Night
B02512,40.7256,-74.0044,Tuesday,2,0,NormalDay,September,Night
B02512,40.7257,-74.0031,Tuesday,2,0,NormalDay,September,Night
B02512,40.7279,-73.9911,Tuesday,2,0,NormalDay,September,Night
B02512,40.7362,-74.0292,Tuesday,2,0,NormalDay,September,Night
B02512,40.7368,-74.0045,Tuesday,2,0,NormalDay,September,Night
B02512,40.7374,-74.0082,Tuesday,2,0,NormalDay,September,Night
